105 292
0 1 
0 12
1 0
1 9
1 2
2 1
2 3
3 2
3 16
3 4
4 3
4 19
4 5
5 4
5 21
5 6
6 5
6 24
6 7
7 6
7 27 
8 33
8 13
8 11
9 10
9 14
9 1
10 11
10 13
10 9
11 8
11 10
11 12
12 11
12 0
13 8
13 34
13 15
13 16
14 9
14 15
15 13
15 16
15 14
16 15
16 35
16 18
16 3
17 18
17 19
18 16
18 20
18 17
19 17
19 20
19 4
20 18
20 37
20 21
20 19 
21 20
21 22
21 5
22 21
22 46
22 23
23 22
23 30
23 26
24 25
24 27
24 6
25 26
25 28
25 24
26 23
26 29
26 25
27 24
27 28
27 7
28 25
28 29
28 27
29 26
29 31
29 28
30 23
30 48
30 31
31 30
31 32
31 29
32 31
32 49
33 39
33 34
33 8
34 33
34 41
34 35
34 13
35 39
35 16
36 43
36 37
37 36
37 45
37 26
38 61
38 39
39 38
39 40
39 33
40 39
40 66
40 41
41 40
41 59
41 42
41 34
42 41
42 58
42 43
43 42
43 44
43 36
44 43
44 57
44 45
45 44
45 55
45 46
45 37
46 45
46 54
46 47
46 22
47 46
47 53
47 48
48 47
48 49
48 30
49 48
49 50
49 32
50 51
50 49
51 53
51 52
51 50
52 70
52 51
53 54
53 51
53 47
54 55
54 53
54 46
55 56
55 69
55 54
55 45
56 57
56 77
56 55
57 58
57 56
57 44
58 68
58 57
58 42
59 60
59 41
60 67
60 59
61 62
61 38
62 63
62 61
63 71
63 64
63 62
64 63
64 72
64 65
65 64
65 73
65 66
66 65
66 67
66 40
67 66
67 74
67 68
67 60
68 67
68 76
68 58
69 60
69 41
70 69
70 52
71 100
71 72
71 63
72 71
72 98
72 73
72 64
73 72
73 93
73 74
73 65
74 73
74 91
74 75
74 67
75 74
75 88
75 76
76 75
76 77
76 68
77 76
77 78
77 56
78 77
78 81
78 79
79 78
79 80
79 69
80 83
80 79
81 82
81 78
82 86
82 83
82 81
83 82
83 84
83 80
84 85
84 83
85 86
85 84
86 87
86 85
86 82
87 88
87 86
88 89
88 87
88 75
89 91
89 90
89 88
90 89
91 92
91 89
91 74
92 94
92 91
93 95
93 94
93 73
94 96
94 92
94 93
95 96
95 93
96 97
96 94
96 95
97 98
97 103
97 96
98 99
98 97
98 72
99 98
99 100
100 101
100 99
100 71
101 102
101 100
102 101
103 104
103 97
104 103

